SqFt,address,age,bath,bedrooms,crime,description,features,floorplan,incm_restr,neighborhood,price,site 
,"Brooklyn, NY, 11237, (",6 days on Trulia,"1 full, 1 partial Bathrooms",3 Bedrooms,High,"Chic duplex just minutes from Maria Hernandez Park, neighborhood eateries and nightlife i.e Mominette, Three Diamond, Mad Tropical, Alphaville, The Wheelhouse and lists go on ....... High-end stainless steel appliances (including dishwasher), ductless central A/C units, tons of space, light, and storage make these apartments an unbeatable option in the area. Huge finished basement with half bath. Building has laundry, courtyard and roof access.AMENITIES : Central A/C  Hardwood Floors  Video Intercom  Laundry in building  Outdoor Space  Roof access ...","Price: $3,000; 3 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc; Courtyard; Garden",,,Bushwick,"$3,000/mo",trulia
,"Brooklyn, NY, 11211, (",6 days on Trulia,"1 full, 1 partial Bathrooms",2 Bedrooms,Lowest,"WELCOME TO 56 FROST IN NORTH WILLIAMSBURG! NEW CONSTURCTION - STUNNING MODERN INTERIOR! **NO FEE~NO FEE~NO FEE** Live in this perfectly detailed, and exquisite 2 bedrooms/1.5 bathroom duplex with 360 views of Brooklyn  Stretching into the Manhattan skyline from your private roofdeck!Unit features:-Queen size bedrooms-Chefs kitchen with top of the line appliances-Creative open layout concept-Rainfall showerhead-Ceramic tiled bathrooms-Granite countertops surrounded by expose brick-Floating staircase leading to duplex-Central A/C","Price: $4,000; 2 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Deck; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Bruma Realty Llc; Patio",,,Greenpoint,"$4,000/mo",trulia
,"Brooklyn, NY, 11233, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Low,"1.5 Bed / 1 Bath at 336 Chauncey St, Brooklyn, NY 11233, USA in Bed-Stuy, Brooklyn. All Pets Allowed. This newly renovated duplex in the heart of Bed-Stuy has all the amenities you could want: laundry in the building, gym, lounge, furnished roof, dishwasher and private backyard. One bedroom on the main floor PLUS finished basement for living room or home studio. AMENITIES : Laundry in building  Central A/C  Dishwasher  Stainless Steel Appliances  Stone countertops  Hardwood floors  High Ceilings  Gym  Lounge  Hardwood Floors","Price: $2,300; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc; Garden",,,Bedford - Stuyvesant,"$2,300/mo",trulia
,"Brooklyn, NY, 11201, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,High,"!!NO FEE!!!!Downtown brooklyn!!~Penthouse ~ 25ft ceilings ~ private roof deck~Very unique modern loft penthouse on a gorgeous quiet tree lined block in Downtown Brooklyn. Brand new construction this building has gorgeous finishes.~Gorgeous 2 Bedrooms , 1.5 Bathroom~High ceilings.~Intercoom.~Washer and dryer in the unit.~2 amazing terraces.~Appliances SS.~Air conditioner.~Very hipi place .~Few min from restaurants , bars , markets.~Few steps from the A , C , F , R Trains.Landlord requires Good Credit/ Income, Guarantors Accepted!...","Price: $3,547; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Rental Solutions Inc",,,Downtown Brooklyn,"$3,547/mo",trulia
,"Brooklyn, NY, 11238, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Low,"GORGEOUS ONE BEDROOM APARTMENT IN A STUNNING BUILDING IN THE HOTTEST PART OF PROSPECT HEIGHTS*WE NOW ACCEPT BITCOIN AS A FORM OF PAYMENT*Amenities:LAUNDRY IN UNITFully modern tiled bathroomTons of natural sun lightKitchen with STAINLESS STEEL appliancesDISHWASHER and MICROWAVECentral Air Condition and HeatCloset space in the bedroomHardwood floors throughout the ENTIRE apartmentPRIVATE BACKYARD; PERFECT FOR THOSE SUMMER CHILLSRight near nice restaurants, shops, grocery stores, bars and much more! Right by th","Price: $2,499; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Streeteasy; Courtyard; Garden",,,Bedford - Stuyvesant,"$2,499/mo",trulia
,"Brooklyn, NY, 11238, (",6 days on Trulia,1 full Bathroom,1 Bedroom,High,"Welcome to Prospect Heights! In one of the most PRIME locations in Brooklyn, the neighborhood features a quiet and comforting ambience just four blocks from Prospect Park, you can enjoy a sunny day biking along Eastern Parkway or at the Brooklyn Museum. Theres no place better for brunch than Outpost, or get Brooklyns BEST coffee at Breukelyn. Grab a drink at Bergn too! Just 5 minutes from the 2/3/4/5 trains at Brooklyn Museum and Franklin Ave, you'll fall in love with the location instantly! The subway-tile backsplash you love has been brought back to complement premier space in","Price: $2,150; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Exr",,,Prospect Heights,"$2,150/mo",trulia
,"Brooklyn, NY, 11229, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Low,"entirely renovated three bedrooms apartment 1st floor in private house, near b&q trains (home crest/midwood area) close to all-- huge living / dinning area-- new kitchen with nice cherry wood cabinets and stainless steel appliances-- separated bedrooms with closets in each room-- new pine wooden floors throughout-- heat and hot water is not included in the rentplease reply with your name and contact number for a viewing
                      Large & new 3BR, 1 Bath + Parking, Midwood area","Price: $2,600; Deposit:
                          $2,600; 3 Bedrooms; 1 full Bathroom; Multi-Family; Refrigerator; Status: For Rent; Neighborhood:; Zip:; 1,200 sqft",,,Sheepshead Bay,"$2,600/mo",trulia
,"Brooklyn, NY, 11238, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,High,"Great apartment in a great location!This two bedroom, 1 bath apartment is located on the 2nd floor (one flight of stairs up) of a small 8 unit apartment building and features:==Kitchen with gas stove and brand new dishwasher====Ample closet space including one walk in closet====King sized master bedroom (10x17) and queen sized 2nd bedroom (12x14)==Situated on the border of Crown Heights and Prospect Heights. Right by all the bars and restaurants on Washington Ave. 1 block to Underhill Playground. 5 blocks to the main library, Brooklyn Museum, Botanical Garden","Price: $2,500; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Zealestate Group Inc",,,Prospect Heights,"$2,500/mo",trulia
,"Brooklyn, NY, 11206, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"This recently developed building defines Williamsburg living with its large apartments, gym, roof deck, laundry and parking you have everything you need at your finger tips.   Apartment & Building Features: - Stainless Steel Appliances - Recessed Lighting - Oversized Granite Countertops - Deep Soaking Tub - Full Sized Modern Appliances - Elevator - Video Intercom System - Washer/Dryer Room - Rooftop Sun Deck - 24 Hour Fitness Center - Pet Friendly - Poker / Yoga Room - Media Room  SHOWING ANYTIME, SHORT NOTICE OK, E","Price: $2,800; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Deck; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Bold Marketing",,,Williamsburg,"$2,800/mo",trulia
,"Brooklyn, NY, 11231, (",6 days on Trulia,2 full Bathrooms,2 Bedrooms,Lowest,"$4,575 is net effective rent based on gross rent of $4,900 with one month free on 15 month term. 3 Bed / 2 Bath in Cobble Hill, Brooklyn. Small Pets Allowed. With sweeping views of the Manhattan skyline there has never been a residence like this before! This apartment is bright and spacious with 3 big bedrooms and 2 baths with modern renovations. Washer/dryer installed, central a/c and hardwood floors. The kitchen has brand new stone counter-tops and stainless steel appliances including a dishwasher and microwave. The building has extra storage for minimal fee and roof access! J","Price: $4,575; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Washer; Dryer; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc",,,Carroll Gardens,"$4,575/mo",trulia
,"Brooklyn, NY, 11214, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Low,"Email/text only please. This completely gut renovated, sunny 3BR apartment is located in a well-maintained, prewar building in Bath Beach / Bensonhurst. Enjoy a variety of nearby shops and eateries plus the convenience of the nearby D train.Apartment Features: Natural Light * High Ceilings * New Hardwood Floors * New Lighting * Large Living Room * New Kitchen * Granite Countertops * White Tile Backsplash * New Appliances * Three True Bedrooms * Six Large Closets * Newly Built Bath * Shared Laundry RoomSmall dogs, and cats OK.To schedule a showing","Price: $2,200; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Cats; Neighborhood:; Zip:; Provided By:
                          Spire Group; 1,085 sqft",,,Bath Beach,"$2,200/mo",trulia
,"Brooklyn, NY, 11225, (",6 days on Trulia,1 full Bathroom,4 Bedrooms,High,Come check out this rare no fee opportunity today! This unit won't last long!Private yard!No fee!Photos from a prior unit in the building. All open houses by appointment only.,"Price: $3,399; 4 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Spire Group",,,Crown Heights,"$3,399/mo",trulia
,"Brooklyn, NY, 11214, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"Apartment for Rent with Parking - Brand new to Market  2 Bedroom / 1 Bathroom / Garage Parking  MARCH 1st move-in Ready  Bay Parkway and 86th Street #Bensonhurst ( Zip: 11214 ) TRANSPORTATION:- Subway - ""D line just 1 block away ( 2 min walk )  BUILDING FEATURES:- Elevator / Laundry Room / Garage / Live-in Superintendent APARTMENT FEATURES:- Fully renovated - corner unit on the top floor ( 6th floor )- Renovations include:** Brand new kitchen ( floors, cabinets and appliances )** Fully renovated bathroom - t","Price: $2,199; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Parking: garage attached; Neighborhood:; Zip:; Provided By:
                          Nyc Realty Brokers Llc; 995 sqft",,,Gravesend,"$2,199/mo",trulia
,"Brooklyn, NY, 11215, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"Sun-drenched one-bedroom in prime Park Slope with private balcony!*OWNER TO COVER PORTION OF BOARD FEES*Bedroom will fit a king-size bedBalcony with views of historic Old Stone House.Ample closet space throughout the apartment. Rainfall shower-head in the bathroomWasher/Dryer discretely tucked away in a walk-in pantry/hamperModern kitchen with stainless-steel appliances, custom cabinets and granite countertopsEnjoy the NOVO for it's 24 hour doorman, resident's lounge with free wifi, a common kids play area and fully equipped fitness center with a yoga roo","Price: $2,800; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Corcoran",,,Gowanus,"$2,800/mo",trulia
,"Brooklyn, NY, 11215, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Lowest,"This unit is a MASSIVE 3 BEDROOM APARTMENT with A Private Terrace!!Apartment Features: -Hardwood floors / Tons of closet space throughout -TONS OF SUNLIGHT + on a TREE LINED STREET-2 FULL BATHROOMS + 3 XL BEDROOMS-Oven/ RefrigeratorBuilding is minutes away from the 15 St Prospect Park Station. Subway Line F, G-Amazing neighborhood, quiet treelined street-Near Laundromat, Parks, Restaurants, Bars, and Pubs. -Perfect for a family, couple, or roommates. Easy Approval, Pet friendly, Schedule a showing!","Price: $3,000; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Small dogs; Balcony; Neighborhood:; Zip:; Provided By:
                          Ny 101, Inc.",,,Greenwood,"$3,000/mo",trulia
,"Brooklyn, NY, 11221, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,High,"Live in this awesome converted historic bank with tons of amenities. This Development is a absolute must see. All apartments are brand new and have Central AC, Dishwashers, Bedroom large enough to fit King size beds, stunning Hardwood floors and more.Just one block from the Gates Avenue J train stop this building is located on the border of beautiful Stuyvesant Heights and Bushwick. The Building's many Amenities include:- Lounge with complimentary Coffee for tenants and guests- Huge fully equipped Gym with Treadmills, Weights, Ellipticals and more- Game r","Price: $2,383; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Parking: garage attached; Neighborhood:; Zip:; Provided By:
                          Lofts And Flats Llc",,,Bedford - Stuyvesant,"$2,383/mo",trulia
,"Brooklyn, NY, 11214, (",6 days on Trulia,"2 full, 1 partial Bathrooms",3 Bedrooms,Lowest,"Mother/daughter, 3 bedroom and 3 baths condo, 2 bedrooms first floor and 1 bedroom basement apartment, driveway and front yard, 2 entry s, excellent location, March 15 th move in
                      Bensonhurst","Price: $2,200; Deposit:
                          $2,200; 3 Bedrooms; 2 full, 1 partial Bathrooms; Single-Family Home; Washer; Dryer; Status: For Rent; Floors: Hardwood; Neighborhood:; Zip:; 1,000 sqft",,,Bath Beach,"$2,200/mo",trulia
,"Brooklyn, NY, 11213, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Highest,"NO FEEHEAT AND HOT WATER INCLUDEDGreat location.Gorgeous newly renovated apartment.Approx 2 min walk to/from 2, 3, 4, 5 trains - Utica Ave.Approx 11 min walk to/from A, C trains - Utica Ave.3 bedrooms / 1 full bath.Stainless steel appliances.Modern Kitchen with dishwasher and granite counter top.Separate large living room.Hardwood floors.Lots of natural light.Closet and window in each room.Laundromat across the street.NO FEE","Price: $2,599; 3 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Simply Brooklyn Realty Inc",,,Crown Heights,"$2,599/mo",trulia
,"Brooklyn, NY, 11233, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Highest,AWESOME LARGE ROOMS IN RENOVATED APARTMENT! 3 BEDROOMS FOR 3 PEOPLE! MARCH 1ST LEASE START! 1 SMALL PET IN THE APARTMENT WITH ROOOMIE APPROVAL IS OK! LAUNDRY IN HOUSE! GYM IN HOUSE! PRIVATE SINGLE OCCUPANCY PRICED BEDROOMS **PROGRAMS ARE NOT ELIGIBLE FOR ROOM RENTAL THUS DO NOT QUALIFY FOR THIS ROOM RENTAL! I DO HAVE STUDIOS/1BEDROOM PLACES STARTING AT $1800 FOR 720 CREDIT TENANTS! VIDEO LINK:httpsyoutu.be/ztmcXVOybFwUtica 3/4/5 10 mins walk Utica A/C 16 mins walkB46 XPRESS BUS TO WILLIAMSBURG Showing this week TEXT 6468831933CREDIT SCORE DETERMINES,"Price: $725; Deposit:
                          $725; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Small dogs, Large dogs; Floors: Hardwood; Balcony; Neighborhood:; Zip:; Provided By:
                          Hotpads; 1,000 sqft",,,Bedford - Stuyvesant,$725/mo,trulia
,"Brooklyn, NY, 11222, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,Lowest,"Greenpoint FIVE Rooms. Use as 2 or 3 BR. You decide. Has 3 exits / entrances. Windows all rooms. Doors where you need them for BR use. Rent may be NEGO. Eat In Kitchen and Full bath. BIG apt includes heat and h.w. Small PET OK. Note.. 35 Yrs ago I actually lived in this bldg. Obviously updated since. I worked in NYC at that time and it really wasn't difficult to travel. THERE is a BUS B48 Up on the corner, goes to Nassau G train AND G and L trains at Lorimer and Metro. You can also go around the corner, opposite direction and get the B24 Bus to Graham L. Either bus ride is just minutes","Price: $2,400; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Townhouse Realty Nyc, Inc.",,,Greenpoint,"$2,400/mo",trulia
,"Brooklyn, NY, 11235, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"DoormanElevatorLive-in SuperLaundry in BuildingStainless Steel AppliancesHard Wood FloorsKian Realty Does Business in Accordance With the Federal Fair Housing Law.All information furnished herein is from sources deemed reliable. No representation is made by Kian Realty NYC, LLC. nor is any to be implied as to the accuracy thereof and all information is submitted subject to errors, omissions, change of price, prior sale or lease, or withdrawal without notice. All dimensions are approximate. For exact dimensions, please hire your own architect or engineer.Regarding Leasing Only: Applicant","Price: $1,625; 1 Bedroom; 1 full Bathroom; Multi-Family; Washer; Status: For Rent; Rooms: 3; Neighborhood:; Zip:; Provided By:
                          Kian Realty Nyc",,,Sheepshead Bay,"$1,625/mo",trulia
,"Brooklyn, NY, 11218, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"NO FEE and ONE MONTH FREE RENT.This spacious 1 Bed/1 Bath with balcony available in a full service building in Windsor Terrace. Apartment is approximately 700sq ft and features modern finishes including white oak flooring, oversize windows, open kitchen with stainless steel appliances, breakfast bar, Oyster Caesarstone countertops, Hansgrohe shower fixtures, and in-unit vented Maytag washer and dryer. Enjoy the many amenities the building has to offer such as full gym, media room, lounge, kids playroom, business center, roof-deck cabanas and backyard all at no extra charge. Or,","Price: $2,580; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Deck; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Firstservice Realty; 700 sqft; Patio",,,Windsor Terrace,"$2,580/mo",trulia
,"Brooklyn, NY, 11211, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Low,"This Large One Bedroom Residence features a Wall of Windows that bring in beautiful natural light throughout, Bright and Spacious Living Room & Charming Eat in Kitchen, Hardwood Floors, Closets. Heat And hot water included, gorgeous private yard, And Small Pets are Welcomed!! Located just 2 blocks to Grand St shopping district, and just a few blocks to the Lorimer L/G train and the JMZ Marcy ave stop Within Minutes to Manhattan!!Email today to Schedule a Private showing.","Price: $2,175; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          East Williamsburg Realty Inc; Garden",,,Williamsburg,"$2,175/mo",trulia
,"Brooklyn, NY, 11213, (",6 days on Trulia,"2 full, 1 partial Bathrooms",3 Bedrooms,High,"Welcome to 251 Albany Avenue. Luxury 3 bedroom 2.5 bathrooms, 2000+ SQFT Townhouse on Sterling Place and Albany Avenue.First Open House this Sunday February 11th 12PM-1PMThe Residence Features: - Three bedrooms and 2.5 bathrooms, Master bedroom with two large semi walk in closets, Master bathroom with soft natural stone heated floors and steam shower, Two additional bedrooms with full closets and lots of windows and natural light, Additional full Bathroom with deep soaking tub and shower and heated stone floors.- Large Living Room and Dining Room area facing","Price: $4,500; 3 Bedrooms; 2 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Citi Habitats; 2,000 sqft; Garden",,,Bedford - Stuyvesant,"$4,500/mo",trulia
,"Brooklyn, NY, 11235, (",6 days on Trulia,1 full Bathroom,3 Bedrooms,Lowest,"Private house 2nd floorwalking distance to Sheepsheadbay train station B,Q lineWood and tiled floorsdishwashershared backyardfront porchcan be used as a 3 bedroom apartment since all rooms have doors, great for rommates or big 2 bedroom with separate living roombig eat in kitchenProofs of income and good credit history are requiredplease call or text Lana 347-210-9037 or Vladimir347-863-4623","Price: $2,150; Deposit:
                          $2,150; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Floors: Hardwood; Balcony; Neighborhood:; Zip:; 1,200 sqft",,,Sheepshead Bay,"$2,150/mo",trulia
,"Brooklyn, NY, 11223, (",6 days on Trulia,2 full Bathrooms,3 Bedrooms,Lowest,"3 bedrooms, an eat in kitchen, Big closets, 2 bathrooms one with a Jacuzzi and shower.
                      Heat and hot water is included.","Price: $2,500; Deposit:
                          $2,500; 3 Bedrooms; 2 full Bathrooms; Multi-Family; Washer; Dryer; Status: For Rent; Neighborhood:; Zip:",,,Gravesend,"$2,500/mo",trulia
,"Brooklyn, NY, 11231, (",6 days on Trulia,"2 full, 1 partial Bathrooms",4 Bedrooms,Lowest,"$5,785 is net effective rent based on gross rent of $6,200 with one month free on 15 month term. 4 Bed / 2.5 Bath in Cobble Hill, Brooklyn. Small Pets Allowed. With sweeping views of the Manhattan skyline there has never been a residence like this! This duplex apartment is bright and spacious with modern renovations. 3 bedrooms and 2 baths upstairs and a huge open basement with a bathroom, Washer/dryer installed, central a/c, hw floors and a private backyard! The kitchen is brand new with SS appliances including a dishwasher and microwave. Extra storage for minimal fee and roof","Price: $5,785; 4 Bedrooms; 2 full, 1 partial Bathrooms; Multi-Family; Washer; Dryer; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc; Patio; Courtyard",,,Carroll Gardens,"$5,785/mo",trulia
,"Brooklyn, NY, 11231, (",6 days on Trulia,2 full Bathrooms,2 Bedrooms,Lowest,"365 BONDNO FEENET EFFECTIVE RENT LISTEDGUARANTOR ACCEPTEDIMMEDIATE OCCUPANCY$1000 SECURITY DEPOSIT W/ AUTO APPROVED APPLICATIONS!Conceived by Goldstein Hill and West Architects in tandem with renowned designer Mark Zeff, the residences at 365 Bond Street epitomize thoughtfully curated design, quality, and craftsmanship. The interior finishes accentuate the industrial casement-style windows overlooking the tranquil Gowanus Waterfront Park, tree-lined streets of Carroll Gardens, and the spectacular Manhattan skyline. Each residence features wide plank white oak","Price: $5,058; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Fireplace; Status: For Rent; Parking: garage attached; Concierge; Neighborhood:; Zip:; Provided By:
                          Douglas Elliman; Waterfront; Courtyard; Garden",,,Gowanus,"$5,058/mo",trulia
,"Brooklyn, NY, 11226, (",6 days on Trulia,"1 full, 1 partial Bathrooms",4 Bedrooms,High,"NO FEEHEAT AND HOT WATER INCLUDEDGreat Location.Beautiful newly renovated duplex.3 bedrooms / 1 full bath upstairs.Large finished basement - can be used as 4th bedroom / half bath.Approx 7 min walk to/from 2,5 trains - Beverly Rd.Approx 13 min walk to/from Q train - Cortelyou Rd.Stainless Steel Appliances.Modern kitchen with dishwasher and granite counter top.Hardwood floors.Window and closet in each room.NO FEEAlso available in this building - 3br, $2284Lease is 18-24 months.","Price: $2,922; 4 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Simply Brooklyn Realty Inc; 1,000 sqft",,,Prospect Lefferts Gardens,"$2,922/mo",trulia
,"Brooklyn, NY, 11217, (",6 days on Trulia,2 full Bathrooms,2 Bedrooms,Low,"Live in a newly renovated 2 bedroom 2 bathroom apartment in prime Prospect Heights, 3-4 blocks away from the Barclays Center. Features:--Completely new, gut renovated, with brand new appliances. No one has lived here yet!--Central air (HVAC systems, temperature remotes in every room).--Washer and drier in unit.--Dishwasher.--Bedrooms on opposite sides of the unit.--Genergously-sized bedrooms, can fit queen-beds, furniture, and more.--Black and white aesthetic, with minimalist style and marble bathrooms.--Roofdeck.Location:--Prime Prosp","Price: $3,500; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Lofts And Flats Llc",,,Prospect Heights,"$3,500/mo",trulia
,"Brooklyn, NY, 11221, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"2 Bed / 1 Bath in Bed-Stuy, Brooklyn. Cats Allowed. Large and sunny, newly renovated with exposed brick, and high ceilings. Open kitchen with dishwasher & built in microwave. Central AC/heat plus Laundry in basement! Just a short walk to the J Z. Super lives on the block. Cats only. We can help you find roommates on Nooklyn.","Price: $2,300; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Pets Allowed:; Cats; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc",,,Bedford - Stuyvesant,"$2,300/mo",trulia
,"Brooklyn, NY, 11215, (",6 days on Trulia,2 full Bathrooms,3 Bedrooms,Lowest,"Entire House Private Yard Duplex 2 Bath Large Dining Room Huge Living Room Huge Separate Dining Room 2 King size Bedrooms 1 Queen Size Bedroom Huge Eat In kitchen Parking Massive Closets Washer Dryer Hookup!Rare opportunity to living in an entire house! Yes you are the only occupant!A duplex of massive proportions! In fact all of the rooms are huge, as well as the grand entrance and hall closet that will easily store several bikes!Lower floor has one queen bedroom, massive living room, dining room, eat in kitchen and a full bathroom!The upper floor has 2","Price: $4,499; 3 Bedrooms; 2 full Bathrooms; Multi-Family; Status: For Rent; Parking: garage attached; Neighborhood:; Zip:; Provided By:
                          Level Group; Patio",,,Park Slope,"$4,499/mo",trulia
,"Brooklyn, NY, 11235, (",6 days on Trulia,2 full Bathrooms,2 Bedrooms,Lowest,"Fully Renovated Large two bedroom; 1500 + SF in a private house for rent w/Large Balcony, 2 brand new high end bathrooms; Custom kitchen with granite counter tops, extra large living room and large dining room; driveway optional. Heat, hot water & gas included! Looking for a small family $2800 non negotiable. Located in the heart of Manhattan Beach near all transportation and a short walk to Sheepshead Bay restaurants. All utilities are included except electric. Good Credit & Proof of Income is a MUST. No BrokersNo PetsNo Fees*No washer dryer","Price: $2,800; Deposit:
                          $2,800; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Status: For Rent; Parking: garage attached; Floors: Hardwood; Balcony; Neighborhood:; Zip:; 1,500 sqft",,,Manhattan Beach,"$2,800/mo",trulia
,"Brooklyn, NY, 11249, (",6 days on Trulia,1 full Bathroom,1 Bedroom,Low,"An Amazing Nice Apt It Was Complete New a Couple Years Ago, Has A Nice Living Kitchen Stainless Steel Appliances Full Bathroom Nice Bedroom With Windows And Closet Nice Hardwood Floors Central Air Tv Intercom Nice Quiet Building + Shared Roof Deck Close To Broadway Diner Marlou And Son:s Close To All Bedford Restaurants Soma fitness Center Williamsburg Bridge Marcy JMZ Stop Going To Down Town And Mid town Close To East River Ferry Walk A Few Minutes To Bedford L Stop Within Minutes To union Square Its Still A Bargain Move March 1 To View Call","Price: $2,150; 1 Bedroom; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Broadway International Realty Corp",,,Williamsburg,"$2,150/mo",trulia
,"Brooklyn, NY, 11216, (",6 days on Trulia,"1 full, 1 partial Bathrooms",1 Bedroom,High,"Welcome to your new place!One of a kind spacious 1.5 bedrooms in Clinton Hill / Bedstuy Border.This 2nd floor, floor through apartment offers large kitchen dining room, separate living space, king size bedroom and 1.5 bathrooms.Super high ceilings, exposed brick walls, large windows brings in tons of natural light, stainless steel appliances, dishwasher, central air heating and cooling system and great closets and storage space.Laundry in the building.On a beautiful landmark block.Within short walk to Nostrand A and C trains 15 minutes to lower Manhattan.For","Price: $3,299; 1 Bedroom; 1 full, 1 partial Bathrooms; Multi-Family; Dishwasher; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Sector Property Group; 1,000 sqft",,,Bedford - Stuyvesant,"$3,299/mo",trulia
,"Brooklyn, NY, 11236, (",6 days on Trulia,2 full Bathrooms,3 Bedrooms,Lowest,"Newly renovated .Large bedrooms Master bedroom with full bath Formal living and dining room Eat-in in kitchen
                      Tenant pays for utilities","Price: $2,100; Deposit:
                          $2,100; 3 Bedrooms; 2 full Bathrooms; Multi-Family; Status: For Rent; Floors: Hardwood; Balcony; Neighborhood:; Zip:",,,Canarsie,"$2,100/mo",trulia
,"Brooklyn, NY, 11237, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,High,"GORGEOUS 2br Apartment Recently Renovated!Unit comes with all the amenities needed!Features:Hard wood Floors2 Bedroomswindows in each roomBrand new kitchenStainless Steel AppliancesNew bathroomSecured entrySteps away from the L train at Dekalb Ave Station, Supermarkets, cafe's , bakeries, restaurants, retail shopping stores and much more! For more informations or to setup a showing, call or e-mail!","Price: $2,600; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Target Realty Group; 1,000 sqft",,,Bushwick,"$2,600/mo",trulia
